site,treatment,species,obs_round,date,year,count,obs_round_1_recaptures,obs_round_2_recaptures,obs_round_1_and_2_double_recaptures,notes
killarney,1,Halictus rubicundus,2,7.6.2023,2,1,0,NA,NA,
killarney,1,Halictus rubicundus,3,7.11.2023,2,1,0,0,0,
killarney,1,Melissodes microsticta,1,7.4.2023,2,63,NA,NA,NA,
killarney,1,Melissodes microsticta,2,7.6.2023,2,43,6,NA,NA,
killarney,1,Melissodes microsticta,3,7.11.2023,2,85,4,5,1,
killarney,1,Megachile montivaga,1,7.4.2023,2,0,NA,NA,NA,
killarney,1,Megachile montivaga,2,7.6.2023,2,0,0,NA,NA,
killarney,1,Megachile montivaga,3,7.11.2023,2,1,0,0,0,
killarney,1,Andrena prunorum,1,7.4.2023,2,3,NA,NA,NA,
killarney,1,Andrena prunorum,2,7.6.2023,2,6,2,NA,NA,
killarney,1,Andrena prunorum,3,7.11.2023,2,8,0,0,0,
west memorial,1,Anthidium oblongatum,1,7.5.2023,2,3,NA,NA,NA,
west memorial,1,Anthidium oblongatum,2,7.7.2023,2,0,0,NA,NA,
west memorial,1,Anthidium oblongatum,3,7.12.2023,2,2,0,0,0,
west memorial,1,Halictus rubicundus,1,7.5.2023,2,0,NA,NA,NA,
west memorial,1,Halictus rubicundus,2,7.7.2023,2,0,0,NA,NA,
west memorial,1,Halictus rubicundus,3,7.12.2023,2,0,0,0,0,
west memorial,1,Melissodes microsticta,1,7.5.2023,2,0,NA,NA,NA,
west memorial,1,Melissodes microsticta,2,7.7.2023,2,0,0,NA,NA,
west memorial,1,Melissodes microsticta,3,7.12.2023,2,0,0,0,0,
west memorial,1,Megachile montivaga,1,7.5.2023,2,2,NA,NA,NA,
west memorial,1,Megachile montivaga,2,7.7.2023,2,0,0,NA,NA,
west memorial,1,Megachile montivaga,3,7.12.2023,2,0,0,0,0,
west memorial,1,Andrena prunorum,1,7.5.2023,2,0,NA,NA,NA,
west memorial,1,Andrena prunorum,2,7.7.2023,2,0,0,NA,NA,
west memorial,1,Andrena prunorum,3,7.12.2023,2,0,0,0,0,
locarno,1,Anthidium oblongatum,1,7.5.2023,2,0,NA,NA,NA,
locarno,1,Anthidium oblongatum,2,7.7.2023,2,0,0,NA,NA,
locarno,1,Anthidium oblongatum,3,7.12.2023,2,0,0,0,0,
locarno,1,Halictus rubicundus,1,7.5.2023,2,1,NA,NA,NA,
locarno,1,Halictus rubicundus,2,7.7.2023,2,0,0,NA,NA,
locarno,1,Halictus rubicundus,3,7.12.2023,2,0,0,0,0,
locarno,1,Melissodes microsticta,1,7.5.2023,2,0,NA,NA,NA,
locarno,1,Melissodes microsticta,2,7.7.2023,2,1,0,NA,NA,
locarno,1,Melissodes microsticta,3,7.12.2023,2,0,0,0,0,
locarno,1,Megachile montivaga,1,7.5.2023,2,0,NA,NA,NA,
locarno,1,Megachile montivaga,2,7.7.2023,2,0,0,NA,NA,
locarno,1,Megachile montivaga,3,7.12.2023,2,0,0,0,0,
locarno,1,Andrena prunorum,1,7.5.2023,2,0,NA,NA,NA,
